2026/09/23 05:06:07.793, 2730 MHz, 326.27 W, 66, 100 %
2026/09/23 05:06:07.894, 2730 MHz, 326.27 W, 66, 100 %
2026/09/23 05:06:07.994, 2730 MHz, 323.31 W, 66, 100 %
2026/09/23 05:06:08.094, 2730 MHz, 323.31 W, 66, 100 %
2026/09/23 05:06:08.194, 2730 MHz, 323.31 W, 66, 100 %
2026/09/23 05:06:08.294, 2730 MHz, 323.31 W, 66, 100 %
2026/09/23 05:06:08.394, 2730 MHz, 323.31 W, 66, 100 %
2026/09/23 05:06:08.494, 2730 MHz, 315.02 W, 66, 100 %
2026/09/23 05:06:08.594, 2730 MHz, 315.02 W, 67, 100 %
2026/09/23 05:06:08.694, 2730 MHz, 315.02 W, 67, 100 %
2026/09/23 05:06:08.795, 2730 MHz, 315.02 W, 67, 100 %
2026/09/23 05:06:08.895, 2730 MHz, 315.02 W, 67, 100 %
2026/09/23 05:06:08.995, 2730 MHz, 325.64 W, 67, 100 %
2026/09/23 05:06:09.095, 2730 MHz, 325.64 W, 67, 100 %
2026/09/23 05:06:09.195, 2730 MHz, 325.64 W, 67, 100 %
2026/09/23 05:06:09.295, 2730 MHz, 325.64 W, 67, 100 %
2026/09/23 05:06:09.395, 2730 MHz, 325.64 W, 67, 100 %
2026/09/23 05:06:09.495, 2730 MHz, 307.04 W, 64, 100 %
2026/09/23 05:06:09.595, 2730 MHz, 307.04 W, 64, 100 %
2026/09/23 05:06:09.696, 2730 MHz, 307.04 W, 64, 100 %
2026/09/23 05:06:09.796, 2730 MHz, 307.04 W, 64, 100 %
2026/09/23 05:06:09.896, 2730 MHz, 307.04 W, 64, 100 %
2026/09/23 05:06:09.996, 2730 MHz, 263.93 W, 66, 100 %
2026/09/23 05:06:10.096, 2730 MHz, 263.93 W, 66, 100 %
2026/09/23 05:06:10.196, 2730 MHz, 263.93 W, 66, 100 %
